gene,growth_ratio,is_lethal,potency_score,toxicity_risk,toxicity_score,target_quality,nn_potency,nn_toxicity,nn_quality
folP,0.0,True,1.0,low,0.2,0.8,0.98545235,0.1938105,0.79446137
fabI,0.0,True,1.0,low,0.2,0.8,0.9852187,0.19710435,0.79102784
murA,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
ispD,-0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
murC,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
murD,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
murE,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
murF,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
ftsW,-0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
fabH,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
murB,-0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
dxr,0.0,True,1.0,low,0.2,0.8,0.98482436,0.1992181,0.78862953
lpxC,-0.0,True,1.0,low,0.2,0.8,0.9774495,0.19575645,0.7861075
lptD,0.0,True,1.0,low,0.2,0.8,0.9774495,0.19575647,0.7861075
lpxA,-0.0,True,1.0,low,0.2,0.8,0.9835691,0.20366651,0.783249
lpxD,-0.0,True,1.0,low,0.2,0.8,0.98356897,0.20366651,0.7832489
lpxB,0.0,True,1.0,low,0.2,0.8,0.9732003,0.20703623,0.77171254
accA,0.0,True,1.0,low,0.2,0.8,0.945461,0.2187884,0.7386051
folA,1.0,False,0.0,low,0.2,0.0,0.43575218,0.30751777,0.30175063
