gene,rationale,score,tier,track,is_lethal,toxicity_risk,human_homolog,competition
ADRA1A,,0.4726,Tier 3 - Exploratory,pruritus,,,,
ADRA1B,,0.4722,Tier 3 - Exploratory,pruritus,,,,
ADRA1D,"This target is currently rated as Tier 3 - Exploratory, suggesting that while it is not an essential gene and is associated with the pruritus track, the overall data package is preliminary. The lack of defined pathway information (NaN) and the low composite score (0.4722) represent significant gaps in mechanistic understanding. Although the target is not novel, the exploratory tier status indicates insufficient validation to proceed with high confidence. Therefore, further comprehensive data—specifically pathway mapping and robust functional validation—is required before advancing ADRA1D into a higher development tier.",0.4722,Tier 3 - Exploratory,pruritus,,,,
FKBP1A,,0.4751,Tier 3 - Exploratory,pruritus,,,,
SCN10A,,0.473,Tier 3 - Exploratory,pruritus,,,,
SCN11A,,0.4732,Tier 3 - Exploratory,pruritus,,,,
SCN1A,"This target is currently promising but requires significant preclinical validation due to its exploratory status. The target is non-essential and is relevant to the pruritus pathway, which suggests a potential therapeutic window for managing chronic itching. However, the classification as ""Tier 3 - Exploratory"" and the moderate composite score of 0.4725 indicate limited confidence in its druggability and mechanism of action. Furthermore, the absence of a defined pathway and the known complexity of SCN1A suggest a high risk of off-target effects and potential adverse events.",0.4725,Tier 3 - Exploratory,pruritus,,,,
SCN2A,"This target is currently considered low-priority for immediate development due to its ""Tier 3 - Exploratory"" classification and moderate composite score of 0.4725. While the target is not essential and is associated with the pruritus track, the lack of defined pathway information (NaN) limits mechanistic understanding and predictive druggability. Advancement requires robust functional validation to confirm the therapeutic relevance of modulating SCN2A in the context of pruritus. Therefore, further *in vitro* and *in vivo* studies are necessary to de-risk the target and establish a clear biological rationale before committing resources to lead optimization.",0.4725,Tier 3 - Exploratory,pruritus,,,,
SCN3A,"This target is currently designated as Tier 3 - Exploratory, suggesting limited immediate clinical promise despite its relevance to the pruritus pathway. Mechanistically, the target is favorable because it is non-essential, mitigating the risk of severe off-target toxicity. However, the moderate composite score of 0.4725, coupled with its exploratory tier status, indicates that robust preclinical data are required before advancing. Further investigation is warranted to validate the therapeutic window and confirm the druggability of SCN",0.4725,Tier 3 - Exploratory,pruritus,,,,
SCN4A,"While SCN4A is a non-essential gene relevant to the pruritus pathway, suggesting a potential therapeutic window, its current classification as a Tier 3 - Exploratory target limits its immediate development promise. The composite score of 0.4725 indicates moderate confidence, and the ""Exploratory"" tier suggests that significant preclinical validation is required before advancing. Although the target is not novel and is not essential, the lack of defined pathway information and the low tier necessitate further investigation into its mechanism of action and selectivity profile to de-risk the",0.4725,Tier 3 - Exploratory,pruritus,,,,
SCN5A,"This target is currently considered low-priority for immediate development due to its classification as Tier 3 - Exploratory. While the target gene, SCN5A, is non-essential and the therapeutic track is pruritus, the lack of defined pathway information (NaN) limits mechanistic understanding. The moderate composite score (0.4727) suggests preliminary evidence, but the exploratory tier indicates that significant preclinical data is required to validate its druggability and biological relevance. Further investigation is warranted to establish a clear molecular mechanism and elevate the target to a higher confidence tier.",0.4727,Tier 3 - Exploratory,pruritus,,,,
SCN7A,,0.4727,Tier 3 - Exploratory,pruritus,,,,
SCN8A,,0.474,Tier 3 - Exploratory,pruritus,,,,
SCN9A,"This target is currently considered low-priority for immediate development due to its classification as Tier 3 - Exploratory. While the target is non-essential, suggesting a potential therapeutic window, the overall developmental risk is elevated by this low tier designation and the absence of defined pathway data. The established link to pruritus is promising, but the lack of a defined pathway and the exploratory status necessitate significant preclinical validation. Therefore, further investment should be contingent upon robust data demonstrating",0.4726,Tier 3 - Exploratory,pruritus,,,,
TRPM8,,0.4702,Tier 3 - Exploratory,pruritus,,,,
bamA,,0.815,Tier 1 - High Priority,amr,,unknown,,
bamD,"This target is highly promising for drug development, particularly within the antimicrobial resistance (AMR) space",0.8075,Tier 1 - High Priority,amr,,unknown,,
ftsZ,"This target is highly promising for drug development, particularly for addressing antimicrobial resistance (AMR). The target, *ftsZ*, is classified as Tier 1 and is",0.805,Tier 1 - High Priority,amr,,unknown,CCT6A,
lpxA,"This target is highly promising for drug development, particularly in the anti-infective space, due to its critical role in bacterial pathogenesis. The high composite score (0.8175) and Tier 1 classification underscore its therapeutic potential, while its function in the essential *lps_synthesis* pathway makes it a compelling target for combating antimicrobial resistance (AMR). Furthermore, the *in silico* data indicates that inhibition of *lpxA* is lethal to the organism (fba_is_lethal: true) with high potency (1.0), yet maintains a favorable safety profile with low predicted toxicity risk and good selectivity (0.8). Given that the target is novel and affects a core bacterial structure (LPS), it represents an attractive opportunity for developing next-generation antibiotics.",0.8175,Tier 1 - High Priority,amr,True,low,,
lpxB,,0.815,Tier 1 - High Priority,amr,True,low,,
lpxC,"This target is highly promising for drug development, particularly within the anti-infective space due to its role in the critical lps\_synthesis pathway and its association with antibiotic resistance (AM",0.8275,Tier 1 - High Priority,amr,True,low,,
lpxD,"This target is highly promising for drug development due to its critical role in bacterial pathogenesis and favorable predicted drugability metrics. Targeting the *lpxD* gene, which is essential for LPS biosynthesis, offers a potent mechanism to combat antibiotic resistance (amr) by disrupting the core lps\_synthesis pathway. Crucially, the metabolic modeling data indicates",0.8125,Tier 1 - High Priority,amr,True,low,,
